,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (observed),Independence Day (observed)_lower,Independence Day (observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (observed),New Year's Day (observed)_lower,New Year's Day (observed)_upper,Thanksgiving Day,Thanksgiving Day_lower,Thanksgiving Day_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (observed),Veterans Day (observed)_lower,Veterans Day (observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
27,2010-04-30,0.37832003990751395,-16.27094783047956,13.20870189986978,0.37832003990751395,0.37832003990751395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0022769883374316,-2.0022769883374316,-2.0022769883374316,0.0,0.0,0.0,-2.0022769883374316,-2.0022769883374316,-2.0022769883374316,0.0,0.0,0.0,-1.6239569484299177
28,2010-05-31,0.40534049381562237,-15.720135170688694,14.215799430783271,0.40534049381562237,0.40534049381562237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.925479141,5.925479141,5.925479141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6237706170259171,-0.6237706170259171,-0.6237706170259171,5.925479141,5.925479141,5.925479141,-6.549249758025917,-6.549249758025917,-6.549249758025917,0.0,0.0,0.0,-0.2184301232102947
29,2010-06-30,0.43148932017830804,-22.619715754987137,7.238451316951664,0.43148932017830804,0.43148932017830804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.396316945095167,-8.396316945095167,-8.396316945095167,0.0,0.0,0.0,-8.396316945095167,-8.396316945095167,-8.396316945095167,0.0,0.0,0.0,-7.964827624916859
30,2010-07-31,0.45850977367052764,-15.999525146946365,13.593780699898032,0.45850977367052764,0.45850977367052764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.890593386500349,-1.890593386500349,-1.890593386500349,0.0,0.0,0.0,-1.890593386500349,-1.890593386500349,-1.890593386500349,0.0,0.0,0.0,-1.4320836128298213
31,2010-08-31,0.4855302271627471,-14.061609372530786,16.052290932409303,0.4855302271627471,0.4855302271627471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7728895613245811,0.7728895613245811,0.7728895613245811,0.0,0.0,0.0,0.7728895613245811,0.7728895613245811,0.7728895613245811,0.0,0.0,0.0,1.2584197884873283
32,2010-09-30,0.5116790531229594,-16.75711138933607,12.473396028506956,0.5116790531229594,0.5116790531229594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.471534216565571,-3.471534216565571,-3.471534216565571,0.0,0.0,0.0,-3.471534216565571,-3.471534216565571,-3.471534216565571,0.0,0.0,0.0,-2.9598551634426116
33,2010-10-31,0.5386995066151787,-7.0963324109667925,22.810261077723677,0.5386995066151787,0.5386995066151787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.700605236153245,6.700605236153245,6.700605236153245,0.0,0.0,0.0,6.700605236153245,6.700605236153245,6.700605236153245,0.0,0.0,0.0,7.239304742768423
34,2010-11-30,0.5648483275557445,-19.010343035257467,10.26446020542394,0.5648483275557445,0.5648483275557445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.201307046570497,-5.201307046570497,-5.201307046570497,0.0,0.0,0.0,-5.201307046570497,-5.201307046570497,-5.201307046570497,0.0,0.0,0.0,-4.636458719014752
35,2010-12-31,0.5918687758609958,-15.33260497845738,13.958112970830864,0.5918687758609958,0.5918687758609958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.525579176,-6.525579176,-6.525579176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4439196729781107,-1.4439196729781107,-1.4439196729781107,-6.525579176,-6.525579176,-6.525579176,5.081659503021889,5.081659503021889,5.081659503021889,0.0,0.0,0.0,-0.8520508971171149
36,2011-01-31,0.618889224166247,-11.520455389497297,17.857826159753447,0.618889224166247,0.618889224166247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.882190243590421,2.882190243590421,2.882190243590421,0.0,0.0,0.0,2.882190243590421,2.882190243590421,2.882190243590421,0.0,0.0,0.0,3.5010794677566683
37,2011-02-28,0.643294790377442,-19.503538264477616,11.055346053862289,0.643294790377442,0.643294790377442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.695034003847138,-4.695034003847138,-4.695034003847138,0.0,0.0,0.0,-4.695034003847138,-4.695034003847138,-4.695034003847138,0.0,0.0,0.0,-4.051739213469697
38,2011-03-31,0.6703152380515351,-5.330530423667711,24.05250356840932,0.6703152380515351,0.6703152380515351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090975292058216,9.090975292058216,9.090975292058216,0.0,0.0,0.0,9.090975292058216,9.090975292058216,9.090975292058216,0.0,0.0,0.0,9.76129053010975
39,2011-04-30,0.6964640583813028,-16.414182883754886,13.53731060739597,0.6964640583813028,0.6964640583813028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.387469502544603,-2.387469502544603,-2.387469502544603,0.0,0.0,0.0,-2.387469502544603,-2.387469502544603,-2.387469502544603,0.0,0.0,0.0,-1.6910054441633005
40,2011-05-31,0.7234845060553958,-21.617475624567508,9.939292643338508,0.7234845060553958,0.7234845060553958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.760885843709811,-6.760885843709811,-6.760885843709811,0.0,0.0,0.0,-6.760885843709811,-6.760885843709811,-6.760885843709811,0.0,0.0,0.0,-6.037401337654416
41,2011-06-30,0.7496333263851633,-24.314200582835362,5.836541067093554,0.7496333263851633,0.7496333263851633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.392760931570837,-9.392760931570837,-9.392760931570837,0.0,0.0,0.0,-9.392760931570837,-9.392760931570837,-9.392760931570837,0.0,0.0,0.0,-8.643127605185674
42,2011-07-31,0.7766537740592565,-15.232692030294487,15.059352249463148,0.7766537740592565,0.7766537740592565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7246297695719293,-0.7246297695719293,-0.7246297695719293,0.0,0.0,0.0,-0.7246297695719293,-0.7246297695719293,-0.7246297695719293,0.0,0.0,0.0,0.05202400448732725
43,2011-08-31,0.8036742164664874,-13.32542733678289,16.43215288681759,0.8036742164664874,0.8036742164664874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9908695054759059,0.9908695054759059,0.9908695054759059,0.0,0.0,0.0,0.9908695054759059,0.9908695054759059,0.9908695054759059,0.0,0.0,0.0,1.7945437219423934
44,2011-09-30,0.8298230316992912,-19.106357411843337,11.172266184789043,0.8298230316992912,0.8298230316992912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.887863350756024,-4.887863350756024,-4.887863350756024,0.0,0.0,0.0,-4.887863350756024,-4.887863350756024,-4.887863350756024,0.0,0.0,0.0,-4.058040319056732
45,2011-10-31,0.8568434741065221,-5.485918486260155,24.238414804368126,0.8568434741065221,0.8568434741065221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.416491774326422,8.416491774326422,8.416491774326422,0.0,0.0,0.0,8.416491774326422,8.416491774326422,8.416491774326422,0.0,0.0,0.0,9.273335248432945
46,2011-11-30,0.882992289339326,-19.744403127500302,9.430675093305139,0.882992289339326,0.882992289339326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.326606888991638,-5.326606888991638,-5.326606888991638,0.0,0.0,0.0,-5.326606888991638,-5.326606888991638,-5.326606888991638,0.0,0.0,0.0,-4.443614599652312
47,2011-12-31,0.9100127423284714,-9.770477949325185,18.46441351762159,0.9100127423284714,0.9100127423284714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5693588611501603,3.5693588611501603,3.5693588611501603,0.0,0.0,0.0,3.5693588611501603,3.5693588611501603,3.5693588611501603,0.0,0.0,0.0,4.479371603478632
48,2012-01-31,0.9370331953176168,-10.45316567244609,18.933581703267993,0.9370331953176168,0.9370331953176168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.717725034348889,3.717725034348889,3.717725034348889,0.0,0.0,0.0,3.717725034348889,3.717725034348889,3.717725034348889,0.0,0.0,0.0,4.6547582296665055
49,2012-02-29,0.9623103932752044,-16.479202119478447,12.696541023500794,0.9623103932752044,0.9623103932752044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8098880462125346,-2.8098880462125346,-2.8098880462125346,0.0,0.0,0.0,-2.8098880462125346,-2.8098880462125346,-2.8098880462125346,0.0,0.0,0.0,-1.8475776529373302
50,2012-03-31,0.9893308462643498,-8.094679401812327,21.507090553246005,0.9893308462643498,0.9893308462643498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1368734583428335,5.1368734583428335,5.1368734583428335,0.0,0.0,0.0,5.1368734583428335,5.1368734583428335,5.1368734583428335,0.0,0.0,0.0,6.1262043046071835
